const_type,const_name,value
socket_family,AF_UNSPEC,0
socket_family,AF_UNIX,1
socket_family,AF_LOCAL,1
socket_family,AF_INET,2
socket_family,AF_AX25,3
socket_family,AF_IPX,4
socket_family,AF_APPLETALK,5
socket_family,AF_NETROM,6
socket_family,AF_BRIDGE,7
socket_family,AF_ATMPVC,8
socket_family,AF_X25,9
socket_family,AF_INET6,10
socket_family,AF_ROSE,11
socket_family,AF_DECnet,12
socket_family,AF_NETBEUI,13
socket_family,AF_SECURITY,14
socket_family,AF_KEY,15
socket_family,AF_NETLINK,16
socket_family,AF_ROUTE,16
socket_family,AF_PACKET,17
socket_family,AF_ASH,18
socket_family,AF_ECONET,19
socket_family,AF_ATMSVC,20
socket_family,AF_RDS,21
socket_family,AF_SNA,22
socket_family,AF_IRDA,23
socket_family,AF_PPPOX,24
socket_family,AF_WANPIPE,25
socket_family,AF_LLC,26
socket_family,AF_IB,27
socket_family,AF_MPLS,28
socket_family,AF_CAN,29
socket_family,AF_TIPC,30
socket_family,AF_BLUETOOTH,31
socket_family,AF_IUCV,32
socket_family,AF_RXRPC,33
socket_family,AF_ISDN,34
socket_family,AF_PHONET,35
socket_family,AF_IEEE802154,36
socket_family,AF_CAIF,37
socket_family,AF_ALG,38
socket_family,AF_NFC,39
socket_family,AF_VSOCK,40
socket_family,AF_KCM,41
socket_family,AF_QIPCRTR,42
socket_family,AF_SMC,43
socket_family,AF_XDP,44
socket_family,AF_MCTP,45
socket_family,AF_MAX,46
fs_magic,ADFS_SUPER_MAGIC,44533
fs_magic,AFFS_SUPER_MAGIC,44543
fs_magic,AFS_SUPER_MAGIC,1397113167
fs_magic,AUTOFS_SUPER_MAGIC,391
fs_magic,CEPH_SUPER_MAGIC,12805120
fs_magic,CODA_SUPER_MAGIC,1937076805
fs_magic,CRAMFS_MAGIC,684539205
fs_magic,CRAMFS_MAGIC,1161678120
fs_magic,DEBUGFS_MAGIC,1684170528
fs_magic,SECURITYFS_MAGIC,1935894131
fs_magic,SELINUX_MAGIC,4185718668
fs_magic,SMACK_MAGIC,1128357203
fs_magic,RAMFS_MAGIC,2240043254
fs_magic,TMPFS_MAGIC,16914836
fs_magic,HUGETLBFS_MAGIC,2508478710
fs_magic,SQUASHFS_MAGIC,1936814952
fs_magic,ECRYPTFS_SUPER_MAGIC,61791
fs_magic,EFS_SUPER_MAGIC,4278867
fs_magic,EROFS_SUPER_MAGIC,3774210530
fs_magic,EXT2_SUPER_MAGIC,61267
fs_magic,EXT3_SUPER_MAGIC,61267
fs_magic,XENFS_SUPER_MAGIC,2881100148
fs_magic,EXT4_SUPER_MAGIC,61267
fs_magic,BTRFS_SUPER_MAGIC,2435016766
fs_magic,NILFS_SUPER_MAGIC,13364
fs_magic,F2FS_SUPER_MAGIC,4076150800
fs_magic,HPFS_SUPER_MAGIC,4187351113
fs_magic,ISOFS_SUPER_MAGIC,38496
fs_magic,JFFS2_SUPER_MAGIC,29366
fs_magic,XFS_SUPER_MAGIC,1481003842
fs_magic,PSTOREFS_MAGIC,1634035564
fs_magic,EFIVARFS_MAGIC,3730735588
fs_magic,HOSTFS_SUPER_MAGIC,12648430
fs_magic,OVERLAYFS_SUPER_MAGIC,2035054128
fs_magic,FUSE_SUPER_MAGIC,1702057286
fs_magic,BCACHEFS_SUPER_MAGIC,3393526350
fs_magic,MINIX_SUPER_MAGIC,4991
fs_magic,MINIX_SUPER_MAGIC,5007
fs_magic,MINIX2_SUPER_MAGIC,9320
fs_magic,MINIX2_SUPER_MAGIC,9336
fs_magic,MINIX3_SUPER_MAGIC,19802
fs_magic,MSDOS_SUPER_MAGIC,19780
fs_magic,EXFAT_SUPER_MAGIC,538032816
fs_magic,NCP_SUPER_MAGIC,22092
fs_magic,NFS_SUPER_MAGIC,26985
fs_magic,OCFS2_SUPER_MAGIC,1952539503
fs_magic,OPENPROM_SUPER_MAGIC,40865
fs_magic,QNX4_SUPER_MAGIC,47
fs_magic,QNX6_SUPER_MAGIC,1746473250
fs_magic,AFS_FS_MAGIC,1799439955
fs_magic,REISERFS_SUPER_MAGIC,1382369651
fs_magic,SMB_SUPER_MAGIC,20859
fs_magic,CIFS_SUPER_MAGIC,4283649346
fs_magic,SMB2_SUPER_MAGIC,4266872130
fs_magic,CGROUP_SUPER_MAGIC,2613483
fs_magic,CGROUP2_SUPER_MAGIC,1667723888
fs_magic,RDTGROUP_SUPER_MAGIC,124082209
fs_magic,STACK_END_MAGIC,1470918301
fs_magic,TRACEFS_MAGIC,1953653091
fs_magic,V9FS_MAGIC,16914839
fs_magic,BDEVFS_MAGIC,1650746742
fs_magic,DAXFS_MAGIC,1684300152
fs_magic,BINFMTFS_MAGIC,1112100429
fs_magic,DEVPTS_SUPER_MAGIC,7377
fs_magic,BINDERFS_SUPER_MAGIC,1819242352
fs_magic,FUTEXFS_SUPER_MAGIC,195894762
fs_magic,PIPEFS_MAGIC,1346981957
fs_magic,PROC_SUPER_MAGIC,40864
fs_magic,SOCKFS_MAGIC,1397703499
fs_magic,SYSFS_MAGIC,1650812274
fs_magic,USBDEVICE_SUPER_MAGIC,40866
fs_magic,MTD_INODE_FS_MAGIC,288389204
fs_magic,ANON_INODE_FS_MAGIC,151263540
fs_magic,BTRFS_TEST_MAGIC,1936880249
fs_magic,NSFS_MAGIC,1853056627
fs_magic,BPF_FS_MAGIC,3405662737
fs_magic,AAFS_MAGIC,1513908720
fs_magic,ZONEFS_MAGIC,1515144787
fs_magic,UDF_SUPER_MAGIC,352400198
fs_magic,DMA_BUF_MAGIC,1145913666
fs_magic,DEVMEM_MAGIC,1162691661
fs_magic,SECRETMEM_MAGIC,1397048141
fs_magic,PID_FS_MAGIC,1346978886
family_protocol,IPPROTO_IP,0
family_protocol,IPPROTO_ICMP,1
family_protocol,IPPROTO_IGMP,2
family_protocol,IPPROTO_IPIP,4
family_protocol,IPPROTO_TCP,6
family_protocol,IPPROTO_EGP,8
family_protocol,IPPROTO_PUP,12
family_protocol,IPPROTO_UDP,17
family_protocol,IPPROTO_IDP,22
family_protocol,IPPROTO_TP,29
family_protocol,IPPROTO_DCCP,33
family_protocol,IPPROTO_IPV6,41
family_protocol,IPPROTO_RSVP,46
family_protocol,IPPROTO_GRE,47
family_protocol,IPPROTO_ESP,50
family_protocol,IPPROTO_AH,51
family_protocol,IPPROTO_MTP,92
family_protocol,IPPROTO_BEETPH,94
family_protocol,IPPROTO_ENCAP,98
family_protocol,IPPROTO_PIM,103
family_protocol,IPPROTO_COMP,108
family_protocol,IPPROTO_L2TP,115
family_protocol,IPPROTO_SCTP,132
family_protocol,IPPROTO_UDPLITE,136
family_protocol,IPPROTO_MPLS,137
family_protocol,IPPROTO_ETHERNET,143
family_protocol,IPPROTO_RAW,255
family_protocol,IPPROTO_SMC,256
family_protocol,IPPROTO_MPTCP,262
family_protocol,IPPROTO_MAX,263
socket_type,SOCK_DGRAM,1
socket_type,SOCK_STREAM,2
socket_type,SOCK_RAW,3
socket_type,SOCK_RDM,4
socket_type,SOCK_SEQPACKET,5
socket_type,SOCK_DCCP,6
socket_type,SOCK_PACKET,10
