inode_id,netns_cookie,src_address,src_port,dst_address,dst_port
59708,50,172.18.0.7,60320,172.18.0.12,7070
59452,50,::,8080,::,0
70802,50,::ffff:172.18.0.7,8080,::ffff:172.18.0.1,34332
59600,50,172.18.0.7,51468,172.18.0.6,7000
59601,4157,::ffff:172.18.0.6,7000,::ffff:172.18.0.7,51468
59555,50,172.18.0.7,60230,172.18.0.11,3550
59289,4159,::ffff:172.18.0.11,3550,::ffff:172.18.0.7,60230
70805,50,127.0.0.1,34799,127.0.0.11,53
57771,50,127.0.0.11,51629,0.0.0.0,0
70806,50,127.0.0.1,41039,127.0.0.11,53
70807,50,172.18.0.7,38906,172.18.0.12,7070
70808,51,::ffff:172.18.0.12,7070,::ffff:172.18.0.7,38906
59616,51,::,7070,::,0
57324,4157,127.0.0.11,42061,0.0.0.0,0
70822,51,127.0.0.1,46138,127.0.0.11,53
58241,51,127.0.0.11,47239,0.0.0.0,0
57963,4158,127.0.0.11,41944,0.0.0.0,0
70045,51,::ffff:172.18.0.12,42386,::ffff:172.18.0.2,6379
70825,51,127.0.0.1,56600,127.0.0.11,53
70823,51,::ffff:172.18.0.12,42396,::ffff:172.18.0.2,6379
70049,4155,172.18.0.2,6379,172.18.0.12,42386
70053,4155,172.18.0.2,6379,172.18.0.12,42396
70884,50,127.0.0.1,43730,127.0.0.11,53
70074,50,127.0.0.1,39438,127.0.0.11,53
70075,1,127.0.0.1,53694,127.0.0.53,53
70885,1,127.0.0.1,60918,127.0.0.53,53
59392,50,172.18.0.7,41604,172.18.0.8,9555
59699,4161,::ffff:172.18.0.8,9555,::ffff:172.18.0.7,41604
58662,4161,127.0.0.11,57036,0.0.0.0,0
58130,4162,127.0.0.11,33801,0.0.0.0,0
59713,50,172.18.0.7,60794,172.18.0.10,8080
59714,4162,::ffff:172.18.0.10,8080,::ffff:172.18.0.7,60794
70078,4162,127.0.0.1,46314,127.0.0.11,53
70079,1,127.0.0.1,49589,127.0.0.53,53
59282,4159,::,3550,::,0
70082,4159,::ffff:172.18.0.11,3550,::ffff:172.18.0.10,44878
70887,4162,::ffff:172.18.0.10,44878,::ffff:172.18.0.11,3550
58792,4159,127.0.0.11,40006,0.0.0.0,0
56843,4155,127.0.0.11,44895,0.0.0.0,0
56146,48,127.0.0.11,40279,0.0.0.0,0
56168,4156,127.0.0.11,37350,0.0.0.0,0
57114,49,127.0.0.11,43746,0.0.0.0,0
69758,1,127.0.0.1,35570,127.0.0.1,80
70799,1,127.0.0.1,80,127.0.0.1,35570
70801,1,172.18.0.1,34332,172.18.0.7,8080
75107,1,127.0.0.1,49790,127.0.0.1,10259
75108,1,127.0.0.1,10259,127.0.0.1,49790
74323,1,172.31.21.222,47562,172.31.21.222,6443
75171,1,::ffff:172.31.21.222,6443,::ffff:172.31.21.222,47562
26261,1,127.0.0.1,40214,127.0.0.1,2379
26845,1,127.0.0.1,2379,127.0.0.1,40214
26175,1,127.0.0.1,2381,0.0.0.0,0
75173,1,127.0.0.1,35082,127.0.0.1,2381
74324,1,127.0.0.1,2381,127.0.0.1,35082
26829,1,127.0.0.1,40090,127.0.0.1,2379
26238,1,127.0.0.1,2379,127.0.0.1,40090
26225,1,127.0.0.1,2379,127.0.0.1,40034
26821,1,127.0.0.1,40034,127.0.0.1,2379
75193,1,127.0.0.1,10259,127.0.0.1,49806
75192,1,127.0.0.1,49806,127.0.0.1,10259
26292,1,::ffff:172.31.21.222,6443,::ffff:172.31.21.222,44126
24698,1,172.31.21.222,44126,172.31.21.222,6443
26822,1,127.0.0.1,2379,127.0.0.1,40050
26230,1,127.0.0.1,40050,127.0.0.1,2379
26214,1,127.0.0.1,2379,127.0.0.1,39956
26814,1,127.0.0.1,39956,127.0.0.1,2379
26848,1,127.0.0.1,2379,127.0.0.1,40220
26847,1,127.0.0.1,40220,127.0.0.1,2379
26853,1,127.0.0.1,2379,127.0.0.1,40242
26262,1,127.0.0.1,40242,127.0.0.1,2379
74535,1,::ffff:172.31.21.222,6443,::ffff:172.31.21.222,47572
26223,1,127.0.0.1,2379,127.0.0.1,40010
75195,1,172.31.21.222,47572,172.31.21.222,6443
26817,1,127.0.0.1,40010,127.0.0.1,2379
26244,1,127.0.0.1,2379,127.0.0.1,40114
26832,1,127.0.0.1,40114,127.0.0.1,2379
23395,1,127.0.0.1,39744,127.0.0.1,2379
26181,1,127.0.0.1,2379,127.0.0.1,39744
23396,1,127.0.0.1,39760,127.0.0.1,2379
26182,1,127.0.0.1,2379,127.0.0.1,39760
26860,1,127.0.0.1,2379,127.0.0.1,40276
26859,1,127.0.0.1,40276,127.0.0.1,2379
